Unnamed: 0,Act. Pop.,Constant,J,Length,Us,V,V2,V3,atom,energy,error,esterm,functional,spin,t,Method,Excitation
31,9.9017460723,1.0,0.78086638759,1.75,1.5596104896,11.9851311225,14.0985192609,14.3471876226,H,-5.082956541,0.004885826233,9.9017460723,pbe,Spin: 0,9.58161351747,uks,singles
32,9.8259021007,1.0,0.709434407213,1.75,1.4323526433,12.084017637,13.8385776362,13.9833748497,H,-5.075990539,0.001534981889,9.8259021007,pbe,Spin: 0,9.02848483967,uks,singles
33,9.8788438911,1.0,0.630327771963,1.75,1.50869348484,12.0587325044,14.4227001645,13.8636446566,H,-4.986478726,0.004839009719,9.8788438911,pbe,Spin: 0,8.62354913224,uks,singles
34,9.8599832203,1.0,0.670949298846,1.75,1.5214066569,11.6141016283,14.5793766926,13.8783608829,H,-5.001922572,0.005627371259,9.8599832203,pbe,Spin: 0,8.64302262614,uks,singles
35,9.9038726868,1.0,0.57543334442,1.75,1.35328741593,12.060126297,15.3026924584,12.8146042468,H,-4.97643133,0.008928711019,9.9038726868,pbe,Spin: 0,8.10154706522,uks,singles
37,9.8928937638,1.0,0.906135606527,1.75,1.6121122399,11.6002029514,14.4539459656,14.4478249471,H,-5.103689305,0.00247522947,9.8928937638,pbe,Spin: 0,9.99644670659,uks,singles
38,9.8842199262,1.0,0.830121362457,1.75,1.58329022382,11.6656932121,14.3621846733,14.386327568,H,-5.107322423,0.002488895567,9.8842199262,pbe,Spin: 0,9.85499106742,uks,singles
39,9.8943768429,1.0,0.706100787051,1.75,1.50579793839,11.1174214863,15.2195341864,13.7818346378,H,-5.034475349,0.007877563341,9.8943768429,pbe,Spin: 0,9.08316144601,uks,singles
40,9.8898465741,1.0,0.686234531248,1.75,1.44443228931,12.7307166651,14.0511988659,14.1644050856,H,-4.999328029,0.007059267154,9.8898465741,pbe,Spin: 0,8.88304182902,uks,singles
41,9.8907197129,1.0,0.621014428207,1.75,1.46105836481,11.732752633,14.6794467479,14.0849552604,H,-4.971360478,0.004754159982,9.8907197129,pbe,Spin: 0,8.52500688591,uks,singles
43,9.8914760434,1.0,0.87769249053,1.75,1.56929985849,11.7519520976,14.3007532371,14.5017808103,H,-5.10280794,0.002503138146,9.8914760434,pbe,Spin: 0,9.82561467192,uks,singles
45,9.8687813831,1.0,0.675094509513,1.75,1.45985472182,12.1317310624,13.9782787347,14.3759264511,H,-5.013380128,0.003742119449,9.8687813831,pbe,Spin: 0,8.83647874788,uks,singles
46,9.8987374671,1.0,0.714956976581,1.75,1.47135567254,11.4366460864,14.9124966945,14.0540626514,H,-5.03087585,0.006286921295,9.8987374671,pbe,Spin: 0,9.02537168797,uks,singles
49,9.9129531138,1.0,1.09461807351,1.75,1.6862812531,10.8862111139,15.2981400859,14.0142198547,H,-5.151921648,0.003865719789,9.9129531138,pbe,Spin: 0,11.1134631885,uks,singles
50,9.8924668245,1.0,1.06749044493,1.75,1.62173640773,11.2355148198,14.6601741961,14.6226174574,H,-5.158415448,0.00364526954,9.8924668245,pbe,Spin: 0,10.9375387432,uks,singles
51,9.8888752993,1.0,0.832216876235,1.75,1.4994495685,11.4899006877,14.5671384252,14.3809892451,H,-5.078579869,0.003547134663,9.8888752993,pbe,Spin: 0,9.89726733636,uks,singles
52,9.8817826391,1.0,0.864208859557,1.75,1.52323277165,11.651868419,14.3476144706,14.3485696895,H,-5.06659498,0.00427041729,9.8817826391,pbe,Spin: 0,9.86421733156,uks,singles
53,9.9009398161,1.0,0.79967187265,1.75,1.46639118642,11.9729754084,14.2278281397,14.3310779667,H,-5.018094003,0.002574301888,9.9009398161,pbe,Spin: 0,9.44306384788,uks,singles
55,9.8946182519,1.0,1.04835623634,1.75,1.62847816784,11.0985185091,14.753074829,14.6217453398,H,-5.153680911,0.004684702558,9.8946182519,pbe,Spin: 0,10.8498620106,uks,singles
