,J,Jdel,Jpi,"Jpi,del","Jz2,del","Jz2,pi",Ud,Ud0,Udel,Up,Upi,"Upi,del",Uz2,"Uz2,del","Uz2,pi",V,eddel,edpi,edz2,energy,energy_err,eppi,epz,es,tfe,tpi,tsigd,tsigs,variance,id,extid,totocc,excitation
154,1.8875403970754205,0.02481470191785,0.4542733864325411,0.9914310700724263,0.14418625309618818,0.2728349855564153,35.786702249225044,1.552029800983455,5.695928200483332,1.9322394456173344,2.256534953680643,11.96547066402572,1.0674805987470102,8.683999003908761,6.117288828379583,30.593081773031745,2.9157010737732802,2.047403638368832,1.4908644889876101,-133.0876396,0.0007823524452,3.8235799536178003,0.93815976175533,0.708124664841697,-0.27927003216166,0.3454601351697173,-0.235080380711254,-0.535368618905015,2.6816971794159463,spin_2,10_8_12_13,11.92383358134455,doubles
155,1.906579968050158,0.0022188992644643717,0.4588285452022764,0.9429205667226446,0.16245320397268626,0.3401587528880865,35.76326501452535,1.4956173216957938,5.915755015426119,1.929822844125231,2.2654957178437414,12.250057689049019,0.8706710278563622,8.52175662774934,5.939528936600762,31.050952250627756,2.9578442381112398,2.042969119896386,1.41427915067477,-133.0532042,0.0008406943224,3.81287805243539,1.0725066342888399,0.5171001549099931,0.503323937511772,0.35121194661368926,-0.0433473257738725,-0.27018493662507237,2.6116726810064956,spin_2,10_9_12_10,11.817577350316618,doubles
156,1.4187305770027692,0.0006600172759376756,0.05519081235100784,0.527916324243167,0.4065284969506744,0.4284349261819824,40.10775338488348,1.9583861680930297,5.951067814232724,1.945135478068064,5.638581809553322,17.155720434971702,0.12459258470904896,5.6991188380208975,5.538671903395785,32.544017900647376,2.96550344599493,2.88966830209373,0.946832357891496,-133.0559451,0.000746296491,3.8481206048275602,0.97687716603055,0.268988977758468,0.1700433327760875,0.19952149950759945,-0.216678872647383,-0.53087626428149,2.6577095555183523,spin_2,10_9_12_11,11.895990854596734,doubles
157,1.4147218980853433,0.00214293002943825,0.05602715890262697,0.5388280631518472,0.39392212508940777,0.4238016209120235,39.724920084231165,1.9253370174645468,5.898053241029334,1.975727475829308,5.572730387403104,17.116559187148233,0.10971569270971239,5.614112062713918,5.413749513226859,32.782828568489336,2.9648968061480403,2.8791192282361697,0.953869088669514,-133.0596574,0.0008255601864,3.85536007578939,0.97236514368654,0.27311809626044403,0.166679501673162,0.16158355231534416,-0.21715951251791799,-0.529624703748675,2.6352396547995154,spin_2,10_9_12_12,11.898728438790098,doubles
158,1.3254978914460913,0.0012331438582407763,0.45261816624593365,0.07171658981034765,0.03224693072897578,0.7676830608025932,40.621967713516824,2.0191008175857057,11.286281551832339,1.93502710907826,2.1986998716175097,15.785565256048267,0.13768889111344113,7.379459089234071,3.8342730536711995,32.96561208848573,3.8779898983495498,2.0328344740354627,0.9477904005462949,-133.0299865,0.0007753998383,3.8399364451897,0.97336071189522,0.267864959706687,0.1682003317298675,0.3044427146807849,-0.221001274041564,-0.5337289541180901,2.6377384827581136,spin_2,10_9_12_13,11.939776889722914,doubles
159,1.903503260218143,0.4876207985296098,0.029910099459124852,1.0090208223210042,0.24567186300386423,0.13127967690453995,33.84257101912322,1.3920585808050738,1.9779705626498252,1.3362235321207598,5.610839728622445,11.500570510875601,0.9459487669083894,5.619000644746848,8.18824080532011,26.698264635847305,1.9931438353311022,2.89813793925871,1.41713891036012,-133.005731,0.0007697618322,2.94170208798444,1.31168330410303,1.20525349619456,-0.19023292967502,0.2725783181782995,0.149413069209305,-0.487206998859845,2.6783291769379476,spin_2,10_8_13_11,11.767059573231963,doubles
160,1.8421522358792437,0.025111814267372797,0.4642289280962947,0.9973115455548315,0.12104812042218,0.23445182753856467,34.3791577514246,1.452991693350028,5.67613645602137,1.326336233199915,2.0670083844249265,11.682170507523592,0.9712570357863398,8.30102391612985,5.681561451538527,26.71109528945577,2.91622471681302,2.004699130347364,1.43112574541045,-133.0272577,0.0008009080033,2.9313310934719903,1.29721044206479,1.18972377733032,-0.18955106544757,0.3724933133617965,0.142893704338765,-0.489452848710685,2.6564821757080614,spin_2,10_8_13_13,11.770314905437935,doubles
161,1.3375473128297273,0.002928086088707314,0.03273649957587571,0.522120877530827,0.374475351767744,0.40528649786657334,38.969479301717975,1.933929535612862,5.92655002371881,1.366500716972665,5.599608555880415,17.204551480975187,0.08284452657148407,5.162211934271834,4.993712780300247,28.71649824742704,2.9652312159632803,2.87982989025467,0.863737890647171,-133.000195,0.0008227890007,2.9540095125898,1.35211923767854,0.76638920158344,0.2829287330726285,0.2773106065292535,0.15719208676767,-0.50408447747216,2.65709918973321,spin_2,10_9_13_11,11.781316948716903,doubles
162,1.335141559581115,0.0014249709463057241,0.04649781343413843,0.5217223780058294,0.37489214553706596,0.39060425165777524,38.73460071835583,1.9134974732306846,5.857134961060183,1.38324479766088,5.544479978596731,17.075457447401668,0.09122205483444996,5.160974630697977,5.005331645764818,28.688868800114918,2.9643059814044896,2.87996206842342,0.875139815503026,-133.0001868,0.0007445613529,2.95958866704846,1.34087344216428,0.76831789908748,0.271020718300959,0.22530374875117148,0.155532065895035,-0.49659072811971,2.663272186995366,spin_2,10_9_13_12,11.788187873631156,doubles
163,1.3168601422832207,0.0005322401388068163,0.4697099988382748,0.0813596771129616,0.040339451153089456,0.7249187750400881,39.11066282189605,1.9559902171562735,11.27687223069782,1.35583478501117,2.06059200721928,15.458845027188152,0.08403279115980503,6.727212943899122,3.503107821731862,28.799574717805434,3.86952415323668,2.002616047018625,0.875838027342797,-132.9758566,0.0007778653067,2.94452115287703,1.3360755726639,0.76864913948461,0.275973743675347,0.36580723227852596,0.157134967412155,-0.50069809459512,2.6657825758758884,spin_2,10_9_13_13,11.797224092623642,doubles
164,2.8161481866415294,0.4880797474635854,0.4540602304668525,1.868259644936976,0.0023546244631144665,0.003393939311001417,29.5686549320343,1.0004840405564315,1.9500126130912898,1.649368939543315,2.161741430620054,8.035344226521875,1.88160679995767,7.707436011278678,7.832513850564727,27.326272874533974,1.9766562328355337,2.023719778876477,1.94177025540485,-133.1215061,0.000766469929,2.87011244272739,1.73057259805198,1.2626984821606602,-0.1252805580327915,0.410265184672417,-0.4034595776806935,-0.0710262523310875,2.555383961119445,spin_2,11_8_12_10,11.805529790056891,doubles
